0,1,2,3,4,5
108,99,301,0,0,0
100,84,300,0,0,0
102,92,316,0,0,0
80,107,318,0,0,0
97,98,285,0,0,0
87,111,298,0,0,0
112,98,287,0,0,0
104,119,290,0,0,0
119,102,312,0,0,0
105,93,286,0,0,0
86,98,305,0,0,0
95,118,304,0,0,0
93,82,302,0,0,0
106,80,307,0,0,0
112,84,307,0,0,0
99,117,317,0,0,0
89,86,289,0,0,0
112,102,285,0,0,0
109,83,289,0,0,0
83,85,314,0,0,0
106,112,284,0,0,0
108,119,314,0,0,0
106,93,317,0,0,0
108,118,296,0,0,0
101,83,310,0,0,0
106,103,298,0,0,0
81,98,305,0,0,0
103,95,281,0,0,0
109,117,287,0,0,0
87,89,307,0,0,0
95,108,298,0,0,0
85,87,301,0,0,0
102,117,315,0,0,0
94,101,297,0,0,0
105,117,297,0,0,0
107,86,311,0,0,0
91,101,316,0,0,0
112,96,316,0,0,0
115,115,311,0,0,0
110,112,282,0,0,0
80,111,295,0,0,0
95,82,285,0,0,0
101,82,280,0,0,0
82,113,293,0,0,0
93,109,283,0,0,0
105,80,301,0,0,0
109,111,312,0,0,0
96,81,300,0,0,0
99,82,306,0,0,0
106,110,283,0,0,0
118,106,300,0,0,0
97,86,308,0,0,0
94,118,281,0,0,0
118,100,302,0,0,0
80,104,281,0,0,0
85,119,302,0,0,0
84,88,285,0,0,0
112,111,306,0,0,0
96,90,307,0,0,0
111,115,288,0,0,0
106,83,302,0,0,0
118,110,300,0,0,0
83,90,283,0,0,0
97,86,309,0,0,0
103,99,302,0,0,0
103,103,287,0,0,0
110,88,312,0,0,0
88,93,283,0,0,0
88,92,309,0,0,0
109,94,319,0,0,0
115,95,282,0,0,0
98,89,281,0,0,0
116,97,305,0,0,0
114,100,305,0,0,0
80,119,297,0,0,0
81,83,317,0,0,0
90,94,286,0,0,0
95,84,315,0,0,0
105,82,314,0,0,0
111,115,286,0,0,0
106,86,284,0,0,0
89,119,304,0,0,0
95,82,296,0,0,0
87,109,289,0,0,0
113,117,314,0,0,0
105,107,304,0,0,0
100,85,316,0,0,0
86,101,287,0,0,0
97,85,288,0,0,0
109,105,310,0,0,0
82,96,282,0,0,0
99,99,309,0,0,0
92,87,286,0,0,0
104,97,289,0,0,0
119,84,291,0,0,0
96,117,311,0,0,0
102,103,314,0,0,0
105,82,280,0,0,0
93,107,305,0,0,0
119,115,319,0,0,0
91,107,293,0,0,0
84,99,303,0,0,0
93,100,308,0,0,0
99,109,284,0,0,0
92,91,319,0,0,0
87,109,312,0,0,0
108,103,292,0,0,0
85,94,294,0,0,0
93,114,287,0,0,0
97,96,301,0,0,0
108,115,299,0,0,0
103,87,283,0,0,0
106,118,299,0,0,0
88,94,316,0,0,0
308,117,106,97,88,1
290,87,92,117,80,1
304,101,83,93,117,1
314,118,97,112,107,1
285,112,100,96,106,1
300,115,117,118,101,1
315,83,87,106,103,1
302,83,108,119,83,1
289,82,106,81,94,1
315,88,99,113,98,1
305,106,87,118,105,1
309,85,80,106,113,1
319,97,80,111,80,1
285,113,87,115,113,1
280,105,88,88,82,1
303,104,108,85,80,1
300,114,98,80,106,1
286,87,118,92,97,1
316,90,84,80,96,1
290,119,95,89,85,1
286,84,102,105,114,1
315,86,89,85,85,1
304,89,81,87,114,1
316,89,106,85,94,1
297,99,93,111,109,1
301,102,119,93,83,1
307,117,108,116,90,1
317,94,80,113,104,1
284,115,108,119,116,1
307,86,118,111,98,1
289,84,110,84,118,1
305,107,118,88,83,1
282,113,85,106,89,1
308,91,84,85,99,1
286,93,100,116,96,1
284,86,103,82,89,1
289,101,86,81,106,1
294,97,101,119,98,1
319,111,117,85,80,1
298,118,118,118,119,1
316,95,82,104,84,1
310,119,96,98,100,1
301,93,108,87,96,1
319,118,83,117,100,1
302,105,93,87,118,1
287,80,108,103,80,1
313,91,91,112,106,1
294,87,111,94,107,1
289,102,118,99,104,1
284,95,87,80,80,1
306,111,87,80,87,1
280,102,92,104,80,1
318,94,88,89,82,1
281,117,92,87,116,1
308,108,100,116,116,1
313,96,108,95,104,1
284,93,95,109,101,1
297,119,108,90,105,1
290,102,99,95,88,1
297,82,90,80,85,1
314,97,100,110,108,1
290,85,110,109,112,1
305,104,80,99,105,1
284,114,108,99,99,1
306,110,93,114,99,1
311,118,102,117,99,1
298,84,93,116,94,1
292,99,95,115,112,1
293,84,115,98,115,1
312,113,111,109,110,1
305,83,102,112,88,1
317,89,93,112,91,1
304,100,86,107,107,1
302,100,119,101,106,1
319,117,102,117,114,1
307,82,93,97,80,1
309,107,102,110,84,1
312,118,91,85,83,1
297,87,103,103,98,1
293,106,87,107,108,1
285,109,109,99,87,1
296,107,80,119,98,1
293,108,106,110,80,1
290,91,103,103,81,1
281,82,116,117,107,1
316,105,114,99,90,1
306,105,89,105,114,1
286,117,119,100,111,1
284,93,105,111,91,1
297,90,87,109,105,1
303,82,97,110,109,1
314,92,101,111,118,1
289,81,86,115,93,1
318,82,105,103,87,1
307,108,81,109,101,1
288,88,102,119,101,1
281,83,114,95,104,1
298,111,86,80,115,1
281,106,85,109,81,1
309,87,104,82,110,1
282,96,103,115,108,1
309,110,115,118,106,1
317,103,117,115,93,1
290,116,114,117,99,1
281,93,119,113,91,1
297,99,115,84,118,1
305,107,117,118,118,1
297,89,99,110,116,1
292,104,95,86,81,1
319,103,84,112,99,1
313,105,85,81,86,1
290,106,82,88,89,1
315,99,108,85,103,1
309,87,89,86,119,1
312,83,98,101,102,1
311,106,88,113,102,1
289,83,82,88,116,1
282,101,93,104,114,1
312,80,100,111,115,1
306,89,119,87,111,1
301,92,109,81,102,1
296,113,91,81,117,1
302,98,101,90,114,1
291,107,93,86,100,1
317,102,102,81,93,1
281,89,119,119,86,1
306,111,110,108,93,1
293,98,88,89,95,1
301,95,99,89,105,1
291,109,100,119,102,1
290,94,92,97,83,1
286,90,111,103,89,1
288,90,113,105,89,1
318,102,105,118,93,1
295,96,117,103,100,1
309,100,92,95,111,1
311,95,100,96,102,1
303,80,105,117,86,1
315,112,100,80,84,1
293,101,109,101,118,1
313,116,116,93,112,1
281,97,81,107,96,1
302,86,109,84,108,1
285,82,88,96,81,1
287,104,104,88,117,1
313,89,90,101,107,1
315,114,87,114,111,1
280,89,93,94,80,1
315,114,91,111,113,1
307,116,94,93,109,1
319,117,93,118,96,1
293,112,88,96,104,1
281,90,118,96,114,1
315,92,99,93,80,1
301,83,109,83,94,1
319,112,109,86,100,1
290,89,86,106,112,1
300,104,91,81,116,1
314,87,103,113,115,1
310,83,113,85,108,1
306,100,117,92,104,1
314,118,92,116,108,1
310,110,101,83,103,1
308,93,81,112,107,1
293,82,95,100,101,1
293,91,105,84,96,1
307,113,83,119,96,1
294,84,80,119,116,1
303,88,107,92,83,1
315,115,106,107,101,1
303,94,109,95,84,1
304,104,111,104,117,1
305,89,104,81,84,1
304,81,99,115,87,1
288,119,84,91,86,1
317,95,114,84,84,1
287,87,83,103,105,1
310,82,97,94,110,1
283,118,106,91,105,1
293,89,119,105,109,1
305,91,113,103,115,1
307,119,109,87,97,1
302,87,86,93,90,1
303,92,94,119,84,1
306,95,92,85,113,1
314,99,100,80,118,1
315,113,104,101,115,1
308,103,98,107,84,1
317,97,103,92,89,1
308,88,104,115,81,1
282,118,84,107,116,1
294,90,102,112,84,1
280,103,97,92,106,1
303,118,96,94,116,1
303,86,87,115,106,1
297,81,112,116,102,1
316,119,96,104,82,1
314,113,80,84,100,1
312,119,119,88,90,1
309,95,116,117,96,1
304,96,317,119,0,2
313,97,312,98,0,2
289,113,307,111,0,2
316,113,282,97,0,2
283,94,282,99,0,2
294,101,292,93,0,2
298,117,308,95,0,2
308,84,299,88,0,2
317,103,292,107,0,2
318,104,307,100,0,2
302,90,294,87,0,2
285,93,289,95,0,2
295,93,282,95,0,2
317,100,309,92,0,2
296,100,314,91,0,2
312,96,311,99,0,2
314,113,283,112,0,2
314,107,298,98,0,2
299,119,292,84,0,2
317,103,288,110,0,2
319,84,300,81,0,2
289,80,318,83,0,2
308,90,284,82,0,2
310,96,302,103,0,2
300,107,318,84,0,2
299,119,314,91,0,2
298,87,302,106,0,2
309,113,319,119,0,2
293,117,292,105,0,2
296,81,294,83,0,2
304,88,311,118,0,2
294,115,303,104,0,2
316,87,289,93,0,2
318,104,305,118,0,2
286,95,309,106,0,2
300,103,294,87,0,2
308,96,283,85,0,2
284,90,292,117,0,2
282,87,319,93,0,2
296,119,300,94,0,2
310,107,306,101,0,2
287,114,291,83,0,2
294,92,317,86,0,2
295,100,293,81,0,2
304,107,315,87,0,2
316,99,318,84,0,2
288,93,293,110,0,2
286,112,315,106,0,2
285,111,304,104,0,2
309,97,286,87,0,2
309,119,289,81,0,2
284,82,284,90,0,2
314,109,289,116,0,2
307,110,289,97,0,2
315,81,283,114,0,2
319,100,288,86,0,2
306,81,301,113,0,2
280,86,297,86,0,2
292,86,292,98,0,2
289,89,298,115,0,2
288,101,306,106,0,2
293,88,307,80,0,2
306,94,310,117,0,2
297,112,298,118,0,2
318,83,319,85,0,2
287,88,285,84,0,2
292,110,300,83,0,2
290,114,281,116,0,2
306,93,318,82,0,2
292,86,311,109,0,2
283,115,292,91,0,2
283,88,311,93,0,2
312,99,295,102,0,2
302,107,314,109,0,2
293,117,286,89,0,2
289,80,298,92,0,2
310,95,302,98,0,2
282,106,295,82,0,2
282,80,288,89,0,2
299,104,303,110,0,2
281,81,314,81,0,2
309,105,281,116,0,2
295,99,299,119,0,2
286,108,301,85,0,2
316,96,300,106,0,2
292,111,282,95,0,2
283,102,306,83,0,2
288,88,289,117,0,2
290,111,282,93,0,2
305,94,293,105,0,2
304,83,311,107,0,2
280,82,290,119,0,2
290,88,303,106,0,2
282,105,297,100,0,2
280,112,318,84,0,2
316,100,286,86,0,2
294,99,294,92,0,2
297,98,281,87,0,2
314,92,308,92,0,2
310,90,300,93,0,2
319,102,285,103,0,2
289,84,307,83,0,2
309,117,287,80,0,2
305,119,312,95,0,2
292,108,284,91,0,2
313,102,301,119,0,2
302,113,300,106,0,2
285,87,296,89,0,2
291,92,307,108,0,2
287,115,282,116,0,2
287,115,284,92,0,2
299,108,313,100,0,2
315,85,303,110,0,2
316,106,288,81,0,2
307,82,317,95,0,2
314,86,304,94,0,2
294,90,281,98,0,2
287,96,290,109,0,2
315,94,287,111,0,2
305,100,302,95,0,2
310,107,284,119,0,2
304,108,308,80,0,2
308,93,287,110,0,2
308,100,285,96,0,2
298,94,318,85,0,2
291,89,285,91,0,2
296,94,316,87,0,2
305,105,318,92,0,2
314,91,301,92,0,2
286,113,281,92,0,2
289,100,315,84,0,2
283,80,295,94,0,2
285,84,287,111,0,2
297,101,310,96,0,2
307,108,301,109,0,2
300,88,315,80,0,2
290,95,292,109,0,2
291,97,298,90,0,2
308,94,293,116,0,2
283,114,312,99,0,2
306,119,302,98,0,2
311,113,319,96,0,2
290,118,300,88,0,2
313,108,310,81,0,2
300,93,305,101,0,2
307,92,303,96,0,2
305,87,297,112,0,2
313,95,312,97,0,2
310,117,311,116,0,2
311,95,309,116,0,2
312,80,282,94,0,2
284,102,287,82,0,2
295,101,287,112,0,2
282,119,309,81,0,2
313,103,313,110,0,2
313,87,317,94,0,2
316,88,308,99,0,2
319,116,319,107,0,2
283,113,312,93,0,2
303,95,288,85,0,2
305,106,303,85,0,2
283,105,318,90,0,2
305,81,291,103,0,2
280,83,280,112,0,2
312,83,301,104,0,2
280,91,319,93,0,2
292,112,303,115,0,2
315,115,308,83,0,2
280,107,297,101,0,2
283,100,291,95,0,2
296,94,298,95,0,2
290,114,297,95,0,2
312,115,289,118,0,2
302,105,293,89,0,2
290,114,280,85,0,2
311,82,317,98,0,2
280,85,290,113,0,2
289,116,312,115,0,2
296,103,318,105,0,2
280,89,289,97,0,2
308,82,307,92,0,2
280,112,296,106,0,2
302,118,289,114,0,2
294,108,295,102,0,2
281,112,284,98,0,2
302,117,304,90,0,2
280,92,297,82,0,2
290,93,304,100,0,2
311,106,287,109,0,2
317,103,288,91,0,2
301,93,301,117,0,2
287,102,291,106,0,2
295,90,313,80,0,2
291,112,288,83,0,2
296,90,305,117,0,2
284,104,284,102,0,2
282,107,303,86,0,2
319,89,306,87,0,2
291,117,305,89,0,2
286,111,297,103,0,2
300,82,94,0,0,3
280,84,85,0,0,3
309,83,116,0,0,3
283,80,93,0,0,3
301,118,93,0,0,3
298,112,93,0,0,3
283,91,119,0,0,3
311,105,111,0,0,3
317,81,118,0,0,3
297,82,112,0,0,3
319,101,92,0,0,3
318,99,104,0,0,3
285,119,112,0,0,3
287,83,86,0,0,3
318,107,94,0,0,3
298,118,87,0,0,3
288,88,92,0,0,3
297,91,87,0,0,3
292,109,87,0,0,3
319,99,92,0,0,3
296,106,115,0,0,3
280,112,83,0,0,3
292,110,101,0,0,3
288,98,117,0,0,3
288,95,94,0,0,3
286,119,105,0,0,3
288,85,90,0,0,3
298,94,97,0,0,3
293,103,94,0,0,3
285,80,113,0,0,3
319,107,109,0,0,3
304,81,111,0,0,3
295,112,105,0,0,3
282,107,105,0,0,3
301,98,87,0,0,3
283,109,82,0,0,3
281,107,84,0,0,3
285,82,99,0,0,3
291,102,84,0,0,3
319,82,114,0,0,3
314,91,114,0,0,3
294,95,111,0,0,3
300,94,94,0,0,3
297,89,114,0,0,3
301,100,82,0,0,3
295,82,86,0,0,3
286,102,101,0,0,3
288,91,96,0,0,3
310,85,110,0,0,3
304,116,110,0,0,3
290,106,101,0,0,3
295,112,104,0,0,3
310,109,103,0,0,3
293,97,88,0,0,3
311,82,80,0,0,3
287,93,89,0,0,3
302,98,88,0,0,3
306,108,92,0,0,3
302,96,98,0,0,3
292,103,100,0,0,3
305,111,91,0,0,3
294,90,91,0,0,3
316,87,100,0,0,3
284,108,107,0,0,3
290,87,116,0,0,3
286,82,118,0,0,3
289,105,84,0,0,3
298,84,104,0,0,3
291,108,89,0,0,3
316,88,106,0,0,3
294,106,99,0,0,3
294,117,98,0,0,3
291,80,81,0,0,3
314,115,97,0,0,3
301,92,102,0,0,3
314,108,94,0,0,3
285,83,83,0,0,3
308,115,92,0,0,3
313,96,101,0,0,3
285,82,90,0,0,3
311,91,99,0,0,3
310,93,98,0,0,3
308,99,82,0,0,3
300,94,85,0,0,3
313,117,105,0,0,3
287,112,92,0,0,3
309,80,106,0,0,3
304,114,115,0,0,3
308,113,101,0,0,3
300,92,94,0,0,3
302,114,85,0,0,3
294,111,99,0,0,3
315,105,108,0,0,3
293,85,98,0,0,3
285,82,90,0,0,3
301,115,110,0,0,3
310,80,97,0,0,3
309,88,116,0,0,3
306,89,112,0,0,3
317,107,111,0,0,3
290,115,88,0,0,3
286,81,86,0,0,3
282,99,91,0,0,3
314,83,118,0,0,3
302,83,90,0,0,3
284,80,86,0,0,3
304,100,119,0,0,3
291,86,92,0,0,3
319,84,107,0,0,3
286,95,108,0,0,3
283,85,88,0,0,3
292,105,115,0,0,3
317,98,114,0,0,3
300,118,109,0,0,3
297,96,119,0,0,3
306,92,102,0,0,3
288,93,88,0,0,3
297,95,84,0,0,3
283,83,106,0,0,3
282,89,80,0,0,3
289,112,89,0,0,3
319,113,114,0,0,3
306,110,84,0,0,3
305,93,97,0,0,3
296,113,84,0,0,3
315,96,83,0,0,3
318,88,81,0,0,3
289,81,82,0,0,3
291,112,117,0,0,3
314,86,86,0,0,3
305,105,106,0,0,3
291,117,86,0,0,3
281,87,100,0,0,3
315,100,104,0,0,3
290,91,112,0,0,3
290,117,115,0,0,3
292,96,91,0,0,3
303,103,84,0,0,3
316,85,105,0,0,3
314,95,100,0,0,3
281,107,94,0,0,3
311,93,115,0,0,3
304,85,113,0,0,3
314,93,116,0,0,3
315,110,108,0,0,3
280,112,95,0,0,3
308,113,111,0,0,3
297,96,85,0,0,3
290,114,93,0,0,3
313,89,80,0,0,3
315,99,93,0,0,3
308,94,92,0,0,3
317,97,96,0,0,3
292,102,80,0,0,3
295,106,101,0,0,3
300,89,85,0,0,3
300,115,84,0,0,3
292,90,101,0,0,3
282,87,107,0,0,3
314,86,94,0,0,3
301,104,95,0,0,3
309,110,103,0,0,3
312,100,85,0,0,3
290,103,96,0,0,3
306,119,119,0,0,3
305,82,103,0,0,3
309,112,90,0,0,3
286,88,80,0,0,3
297,108,86,0,0,3
294,113,99,0,0,3
311,117,91,0,0,3
315,106,87,0,0,3
317,94,94,0,0,3
295,104,82,0,0,3
289,97,94,0,0,3
315,87,88,0,0,3
284,104,108,0,0,3
283,105,86,0,0,3
316,89,99,0,0,3
288,110,84,0,0,3
304,110,84,0,0,3
308,92,114,0,0,3
292,87,97,0,0,3
299,111,90,0,0,3
299,110,94,0,0,3
304,118,85,0,0,3
290,106,88,0,0,3
300,104,112,0,0,3
295,80,106,0,0,3
292,91,110,0,0,3
299,119,80,0,0,3
284,92,82,0,0,3
310,107,98,0,0,3
293,117,93,0,0,3
311,98,113,0,0,3
291,91,107,0,0,3
307,87,85,0,0,3
295,86,109,0,0,3
280,91,92,0,0,3
285,87,100,0,0,3
114,0,0,0,0,4
101,0,0,0,0,4
80,0,0,0,0,4
99,0,0,0,0,4
86,0,0,0,0,4
92,0,0,0,0,4
84,0,0,0,0,4
93,0,0,0,0,4
105,0,0,0,0,4
86,0,0,0,0,4
81,0,0,0,0,4
84,0,0,0,0,4
84,0,0,0,0,4
80,0,0,0,0,4
112,0,0,0,0,4
105,0,0,0,0,4
88,0,0,0,0,4
82,0,0,0,0,4
81,0,0,0,0,4
116,0,0,0,0,4
91,0,0,0,0,4
113,0,0,0,0,4
112,0,0,0,0,4
104,0,0,0,0,4
110,0,0,0,0,4
101,0,0,0,0,4
113,0,0,0,0,4
97,0,0,0,0,4
101,0,0,0,0,4
96,0,0,0,0,4
111,0,0,0,0,4
109,0,0,0,0,4
110,0,0,0,0,4
101,0,0,0,0,4
90,0,0,0,0,4
110,0,0,0,0,4
115,0,0,0,0,4
87,0,0,0,0,4
83,0,0,0,0,4
112,0,0,0,0,4
80,0,0,0,0,4
99,0,0,0,0,4
84,0,0,0,0,4
113,0,0,0,0,4
86,0,0,0,0,4
90,0,0,0,0,4
116,0,0,0,0,4
109,0,0,0,0,4
99,0,0,0,0,4
87,0,0,0,0,4
118,0,0,0,0,4
100,0,0,0,0,4
116,0,0,0,0,4
95,0,0,0,0,4
94,0,0,0,0,4
117,0,0,0,0,4
84,0,0,0,0,4
94,0,0,0,0,4
92,0,0,0,0,4
114,0,0,0,0,4
90,0,0,0,0,4
109,0,0,0,0,4
89,0,0,0,0,4
95,0,0,0,0,4
110,0,0,0,0,4
106,0,0,0,0,4
106,0,0,0,0,4
100,0,0,0,0,4
92,0,0,0,0,4
81,0,0,0,0,4
98,0,0,0,0,4
106,0,0,0,0,4
96,0,0,0,0,4
97,0,0,0,0,4
101,0,0,0,0,4
116,0,0,0,0,4
109,0,0,0,0,4
90,0,0,0,0,4
100,0,0,0,0,4
89,0,0,0,0,4
99,0,0,0,0,4
87,0,0,0,0,4
103,0,0,0,0,4
113,0,0,0,0,4
90,0,0,0,0,4
84,0,0,0,0,4
85,0,0,0,0,4
96,0,0,0,0,4
100,0,0,0,0,4
94,0,0,0,0,4
80,0,0,0,0,4
109,0,0,0,0,4
100,0,0,0,0,4
82,0,0,0,0,4
91,0,0,0,0,4
112,0,0,0,0,4
95,0,0,0,0,4
84,0,0,0,0,4
110,0,0,0,0,4
83,0,0,0,0,4
118,0,0,0,0,4
85,0,0,0,0,4
87,0,0,0,0,4
96,0,0,0,0,4
97,0,0,0,0,4
93,0,0,0,0,4
117,0,0,0,0,4
95,0,0,0,0,4
99,0,0,0,0,4
119,0,0,0,0,4
89,0,0,0,0,4
82,0,0,0,0,4
83,0,0,0,0,4
102,0,0,0,0,4
92,0,0,0,0,4
97,0,0,0,0,4
107,0,0,0,0,4
105,0,0,0,0,4
90,0,0,0,0,4
96,0,0,0,0,4
82,0,0,0,0,4
116,0,0,0,0,4
93,0,0,0,0,4
86,0,0,0,0,4
84,0,0,0,0,4
100,0,0,0,0,4
87,0,0,0,0,4
105,0,0,0,0,4
81,0,0,0,0,4
115,0,0,0,0,4
90,0,0,0,0,4
104,0,0,0,0,4
113,0,0,0,0,4
89,0,0,0,0,4
89,0,0,0,0,4
96,0,0,0,0,4
113,0,0,0,0,4
83,0,0,0,0,4
98,0,0,0,0,4
98,0,0,0,0,4
84,0,0,0,0,4
102,0,0,0,0,4
82,0,0,0,0,4
80,0,0,0,0,4
86,0,0,0,0,4
104,0,0,0,0,4
102,0,0,0,0,4
89,0,0,0,0,4
80,0,0,0,0,4
94,0,0,0,0,4
111,0,0,0,0,4
91,0,0,0,0,4
92,0,0,0,0,4
116,0,0,0,0,4
117,0,0,0,0,4
86,0,0,0,0,4
112,0,0,0,0,4
116,0,0,0,0,4
101,0,0,0,0,4
115,0,0,0,0,4
88,0,0,0,0,4
100,0,0,0,0,4
81,0,0,0,0,4
101,0,0,0,0,4
113,0,0,0,0,4
98,0,0,0,0,4
81,0,0,0,0,4
94,0,0,0,0,4
100,0,0,0,0,4
84,0,0,0,0,4
91,0,0,0,0,4
98,0,0,0,0,4
113,0,0,0,0,4
118,0,0,0,0,4
114,0,0,0,0,4
104,0,0,0,0,4
90,0,0,0,0,4
100,0,0,0,0,4
88,0,0,0,0,4
91,0,0,0,0,4
110,0,0,0,0,4
97,0,0,0,0,4
106,0,0,0,0,4
117,0,0,0,0,4
93,0,0,0,0,4
99,0,0,0,0,4
117,0,0,0,0,4
106,0,0,0,0,4
95,0,0,0,0,4
80,0,0,0,0,4
98,0,0,0,0,4
93,0,0,0,0,4
103,0,0,0,0,4
103,0,0,0,0,4
112,0,0,0,0,4
86,0,0,0,0,4
89,0,0,0,0,4
84,0,0,0,0,4
117,0,0,0,0,4
116,0,0,0,0,4
